date,balance
1/1/2024,"$1,000.00 "
1/8/2024,"$1,115.16 "
1/15/2024,"$1,155.63 "
1/22/2024,"$1,185.76 "
1/29/2024,"$1,293.11 "
2/5/2024,"$1,440.57 "
2/12/2024,"$1,478.96 "
2/19/2024,"$1,531.08 "
2/26/2024,"$1,563.67 "
3/4/2024,"$1,706.79 "
3/11/2024,"$1,757.98 "
3/18/2024,"$1,893.83 "
3/25/2024,"$2,012.59 "
4/1/2024,"$2,084.90 "
4/8/2024,"$2,213.07 "
4/15/2024,"$2,305.00 "
4/22/2024,"$2,333.37 "
4/29/2024,"$2,393.28 "
5/6/2024,"$2,454.30 "
5/13/2024,"$2,505.40 "
5/20/2024,"$2,578.40 "
5/27/2024,"$2,652.88 "
6/3/2024,"$2,786.13 "
6/10/2024,"$2,897.09 "
6/17/2024,"$2,997.96 "
6/24/2024,"$3,092.96 "
7/1/2024,"$3,146.57 "
7/8/2024,"$3,278.14 "
7/15/2024,"$3,328.21 "
7/22/2024,"$3,358.91 "
7/29/2024,"$3,448.45 "
8/5/2024,"$3,538.99 "
8/12/2024,"$3,619.27 "
8/19/2024,"$3,705.41 "
8/26/2024,"$3,757.04 "
9/2/2024,"$3,858.16 "
9/9/2024,"$3,900.93 "
9/16/2024,"$4,035.48 "
9/23/2024,"$4,147.83 "
9/30/2024,"$4,254.15 "
