sender,subject,body,received_at,label
,,,2025-05-29 06:06:18.049351+00:00,Irrelevant
,,,5/29/2025 4:53,Irrelevant
,,,5/28/2025 21:00,Irrelevant
,,,5/29/2025 1:29,Rejection
,,,2025-05-29 06:06:18.473688+00:00,Irrelevant
,,,5/28/2025 17:59,Irrelevant
,,,5/28/2025 23:30,Irrelevant
,,,5/28/2025 22:54,Recruiter
,,,5/28/2025 14:57,Irrelevant
,,,2025-05-29 06:06:18.847989+00:00,Application
,,,5/28/2025 18:30,Recruiter
,,,2025-05-29 06:06:19.198977+00:00,Irrelevant
,,,5/28/2025 11:21,Irrelevant
,,,5/28/2025 11:05,Irrelevant
,,,5/28/2025 17:00,Rejection
,,,5/28/2025 9:49,Irrelevant
,,,2025-05-29 06:06:20.066063+00:00,Irrelevant
,,,2025-05-29 06:06:20.294279+00:00,Irrelevant
,,,2025-05-29 06:06:20.373244+00:00,Irrelevant
,,,2025-05-29 06:06:20.458950+00:00,Irrelevant
,,,2025-05-29 06:06:20.537122+00:00,Irrelevant
,,,2025-05-29 06:06:20.649046+00:00,Irrelevant
,,,5/27/2025 18:31,Irrelevant
,,,2025-05-29 06:06:20.832221+00:00,Irrelevant
,,,2025-05-29 06:06:20.913243+00:00,Irrelevant
,,,5/27/2025 16:27,Recruiter
,,,5/27/2025 20:13,Irrelevant
,,,5/27/2025 20:12,Irrelevant
,,,5/27/2025 12:41,Irrelevant
,,,5/27/2025 18:07,Recruiter
,,,5/27/2025 18:00,Irrelevant
,,,2025-05-29 06:06:21.432837+00:00,Irrelevant
,,,2025-05-29 06:06:21.497096+00:00,Irrelevant
,,,5/27/2025 17:10,Recruiter
,,,5/27/2025 11:01,Irrelevant
,,,5/27/2025 9:52,Irrelevant
,,,5/27/2025 16:50,Rejection
,,,5/27/2025 14:30,Irrelevant
,,,2025-05-29 06:06:21.975471+00:00,Irrelevant
,,,2025-05-29 06:06:22.052930+00:00,Irrelevant
,,,5/26/2025 21:56,Irrelevant
